paper,year,dataset,model,features,prediction_horizon,validation_method,metrics,trading_evaluation,multi_dataset,ensemble_usage,limitations,our_difference
Zhang et al.,2019,FI-2010 (LSE 5 stocks),DeepLOB (CNN+LSTM),Raw LOB 2D (40 levels),10-100 ticks,Chronological 9-day train 1-day test,Accuracy F1,None (No P&L / Sharpe),No,No,Zero transaction cost assumption; no profitability evaluation,"Implements RECIM cost engine, full MDMT metrics, RAEP regime testing"
Nousi et al.,2019,FI-2010,Ridge / SVM / MLP,Tier 0 + Tier 1 (144 features),10-50 ticks,Chronological 9-day train 1-day test,Accuracy F1,None,No,No,Static evaluation; ignores market impact and spread,"Integrates OFI, dynamic features, and RECIM execution simulation"
Bucci et al.,2019,8M US Equity Trades (Institutional),Proprietary Regression,Order Flow Dynamics,Intraday ticks,In-sample / Out-of-sample,R2 Mean Impact,Market impact scaling only,No,No,Theoretical impact study without ML predictive model,"Embeds Bucci crossover market impact directly into ML backtesting (RECIM)"
Gašperov & Kostanjčar,2022,Hawkes Process Simulator,Deep RL (Hawkes DRL),Hawkes state representation,Continuous time,Monte Carlo simulation,P&L Sharpe under costs,Yes (Market-making),No,No,Restricted to synthetic Hawkes LOB simulator,"Unified 7-phase generalizable evaluation protocol for real LOB ML models"
Cont et al.,2023,NASDAQ TotalView-ITCH,Linear Regression / PCA,Multi-level OFI (Tier 2),1-50 ticks,Chronological OOS,R2 OFI cross-impact,Contemporaneous price impact,Yes (Cross-asset),No,Focuses on linear explanatory power rather than ML trading,"Combines OFI with DeepLOB & LiT Transformer inside full MDMT stack"
Kolm et al.,2023,115 NASDAQ Stocks,LSTM on OFI,OFI features (Tier 2),10-100 events,Expanding-window OOS,R2 Sharpe Ratio,Yes (Frictionless Sharpe 0.8-1.2),Yes (115 stocks),No,Assumes zero spread and zero market impact,"Deducts realistic half-spread, exchange fees, and crossover market impact"
Guo et al.,2023,Simulated LOB,Attn-LOB RL Agent,CNN with attention,Intraday ticks,Simulated episodes,Reward / Inventory risk,Yes (Simulated MM),No,No,RL sample inefficiency; lack of real multi-regime empirical test,"Standardizes evaluation across classical ML, DeepLOB, LiT, and Ensembles"
Wong & Barahona,2023,Temporal Tabular Datasets,GBDT with dropout,Tabular features,Varying horizons,Rolling walk-forward CV,Sharpe Calmar PDI,Yes (Tabular Sharpe),No,Yes (Dynamic ensemble),Tabular data focus; not specialized for LOB microstructure,"Adapts dynamic ensemble and PDI metric specifically to high-frequency LOB"
Briola et al.,2024,NASDAQ LOBSTER (10 stocks),DeepLOB,Raw LOB (Tier 0),10-100 events,Chronological test,Accuracy vs Realized P&L,Yes (Exposes P&L=0 failure),No,No,Exposes accuracy-profitability gap but offers no unified evaluation framework,"Proposes LOB-PROFIT Framework providing the complete solution & checklist"
Prata et al.,2024,FI-2010 & LOBSTER (15 deep models),15 SOTA Deep Models,Raw LOB 2D,10-100 ticks,Fixed train/test split,Accuracy F1 Sharpe under spread,Yes (Shows negative Sharpe),Yes (FI-2010 -> LOBSTER),No,Fixed single split; no regime adaptation or dynamic ensembling,"Provides RAEP walk-forward protocol with 4-quadrant regime adaptation"
Jha et al.,2020,Coinbase Bitcoin Spot,Temporal CNN,Raw LOB Crypto,2 seconds,Walk-forward CV,Accuracy (71%),No trading backtest,No,No,Statistical accuracy only; no cost accounting for crypto spread/fees,"Applies full RECIM model to crypto spot depth with realistic maker/taker fees"
Jabbar & Jalil,2024,Bitcoin Crypto LOB (41 models),41 ML Models,Microstructure features,1-15 min,Chronological 14000+ trades,Accuracy F1 Sharpe Sortino,Yes (Proves Rank(Acc)!=Rank(Sharpe)),No,No,Empirical survey on crypto only without unified formal taxonomy,"Compiles formal MDMT taxonomy and 11-point practitioner checklist"
LOB-PROFIT (Ours),2024-2026,FI-2010 & Binance Spot (BTC/ETH),Classical + DeepLOB + LiT + Ensemble,Full 4-Tier Taxonomy (T0-T3),Multi-horizon,RAEP Walk-Forward (5 folds),Full MDMT Tiers A-E,Full RECIM simulation (spread+fees+impact+fill),Yes (Multi-asset),Yes (Dynamic Sharpe weighting),Open academic / crypto data; formalizes complete end-to-end framework,"First comprehensive 7-phase pipeline bridging predictive ML to realized profit"
