paper,section,dataset,dataset_version,features,target,model,formula,hyperparameters,training_method,validation_method,metric,reported_result,our_result,status,source,notes
Rahul (2026),Sec 2.2,FI-2010/Crypto,v1.0,Raw LOB (Tier 0),Mid-price Direction (Ternary),Logistic Regression,"Eq (3),(4)",C=1.0 class_weight='balanced',SGD/L-BFGS,Walk-Forward CV 5-folds,Accuracy/F1/Sharpe,Baseline benchmark,Pending run,Planned,Paper Baseline,Linear benchmark
Rahul (2026),Sec 2.2,FI-2010/Crypto,v1.0,Tier 0 + Tier 1 + Tier 2,Mid-price Direction (Ternary),Random Forest,"Eq (3),(4),(8)-(14)",n_estimators=100 max_depth=10,Ensemble bagging,Walk-Forward CV 5-folds,Accuracy/F1/Sharpe/P&L,High feature importance,Pending run,Planned,Paper Model,Nonlinear ML baseline
Rahul(2026),Sec 2.2,FI-2010/Crypto,v1.0,Tier 0 + Tier 1 + Tier 2 + Tier 3,Mid-price Direction (Ternary),XGBoost / GBDT,"Eq (3),(4),(8)-(14)",n_estimators=150 lr=0.05 dropout=0.2,Gradient boosting with dropout,Walk-Forward CV 5-folds,Accuracy/F1/Sharpe/P&L,Regime-robust S>0.8,Pending run,Planned,Paper Model (Wong 2023),GBDT with dropout regularized
Rahul (2026),Sec 2.3,FI-2010/Crypto,v1.0,Raw LOB 2D (Tier 0),Mid-price Direction (Ternary),CNN (DeepLOB Spatial),"Eq (1),(3),(4)",conv_layers=3 filters=32 lr=0.001,Adam class-weighted CE,Walk-Forward CV 5-folds,Accuracy/F1/Sharpe/RECIM P&L,Spatial feature extraction,Pending run,Planned,DeepLOB (Zhang 2019),Spatial CNN baseline
Rahul (2026),Sec 2.3,FI-2010/Crypto,v1.0,Raw LOB 2D (Tier 0),Mid-price Direction (Ternary),CNN+LSTM (DeepLOB Spatiotemporal),"Eq (1)-(4)",conv+lstm(64) dropout=0.3 lr=0.001,Adam class-weighted CE early_stop=10,Walk-Forward CV 5-folds,Accuracy/F1/Sharpe/RECIM P&L,Benchmark deep model F1>0.65,Pending run,Planned,DeepLOB (Zhang 2019),Primary benchmark architecture
Rahul (2026),Sec 2.3,FI-2010/Crypto,v1.0,Tier 0 + Tier 1 + Tier 2 + Tier 3,Mid-price Direction (Ternary),Transformer (LiT / TransLOB),"Eq (1)-(4),(12)-(14)",d_model=64 nhead=4 layers=2 dropout=0.2,AdamW cosine annealing lr=0.001,Walk-Forward CV 5-folds,Accuracy/F1/Sharpe/RECIM P&L,SOTA long-range attention,Pending run,Planned,LiT (Li 2023),SOTA attention architecture
Rahul (2026),Sec 4.2 / 9.2,FI-2010/Crypto,v1.0,OFI Features (Tier 2),"Return / Direction",LSTM on OFI,"Eq (5)-(7),(12)-(14)",lstm_units=64 lr=0.001,Adam OFI pre-training,Walk-Forward CV 5-folds,R2/Sharpe,Sharpe 0.8-1.2 (Kolm 2023),Pending run,Planned,Kolm et al. (2023),OFI stationary features
Rahul (2026),Sec 7.4 / 9.3,Combined,v1.0,Full Tier 0-3 Taxonomy,Mid-price Direction (Ternary),Dynamic Sharpe Ensemble,"Eq (15),(22),(30)",Sharpe-weighted model averaging,Online dynamic weighting,RAEP Walk-Forward 5-folds,MDMT Tiers A-E / PDI,+20-30% Calmar reduction,Pending run,Planned,LOB-PROFIT Extension,Adaptive ensemble across regimes
Rahul (2026),Sec 6,FI-2010/Crypto,v1.0,N/A,Execution Simulation,RECIM Engine,"Eq (23)-(28)",eta=0.5 xi_star=0.0<PASSWORD> fee=<PASSWORD>,Event-driven execution simulation,Rolling Out-of-Sample,Net Sharpe / MaxDD / HitRate,Realistic cost deduction,Pending run,Planned,LOB-PROFIT Core (C4),Execution cost integration
Rahul (2<PASSWORD>),Sec 7,FI-2<PASSWORD>,v1.0,N/A,Regime Robustness,RAEP Protocol,"Eq (２９),(３０)",vol_window=3０ autocorr_lag=１,４-Quadrant regime classification,Walk-Forward M=５,PDI(Sharpe) / Regime Sharpe,PDI<０.３ target,Pending run,Planned,LOB-PROFIT Core (C３),Regime adaptation protocol
